epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7635,1.44073,5.23133,1.57942,0.43291,0.19184,0.1224,0.07624,1.42315,3.26836,1.6011,0.00332143,0.00332143,0.00332143
2,135.704,1.34977,3.60162,1.46253,0.46562,0.45345,0.42951,0.25683,1.49823,2.51462,1.72411,0.00658888,0.00658888,0.00658888
3,199.35,1.40991,2.98922,1.47867,0.49559,0.24403,0.23102,0.13168,1.65008,3.53389,1.83698,0.00979033,0.00979033,0.00979033
4,268.031,1.41647,2.51387,1.46471,0.61376,0.51237,0.60525,0.37704,1.39051,1.9517,1.63147,0.009703,0.009703,0.009703
5,338.246,1.32289,1.81916,1.38823,0.69486,0.57428,0.67605,0.43453,1.34612,1.85797,1.56933,0.009604,0.009604,0.009604
6,405.16,1.25613,1.47734,1.34826,0.67176,0.69612,0.76176,0.50675,1.2942,1.51934,1.49416,0.009505,0.009505,0.009505
7,478.35,1.21115,1.28498,1.31339,0.72487,0.75746,0.82471,0.55747,1.24516,1.19791,1.44993,0.009406,0.009406,0.009406
8,552.748,1.18322,1.16638,1.29718,0.86026,0.88422,0.92499,0.65023,1.13969,0.75425,1.38152,0.009307,0.009307,0.009307
9,628.32,1.15865,1.08709,1.27924,0.83903,0.89663,0.9397,0.65323,1.17097,0.76193,1.3931,0.009208,0.009208,0.009208
10,703.378,1.13511,1.03077,1.26532,0.83802,0.88765,0.92099,0.64443,1.16139,0.72005,1.38073,0.009109,0.009109,0.009109
11,780.351,1.11968,0.97571,1.25642,0.84516,0.93331,0.95407,0.69079,1.07719,0.63622,1.33298,0.00901,0.00901,0.00901
12,858.608,1.09089,0.92779,1.24091,0.89936,0.93146,0.95569,0.69797,1.07968,0.58202,1.31842,0.008911,0.008911,0.008911
13,937.26,1.08515,0.89894,1.23723,0.88693,0.93156,0.96155,0.69843,1.08923,0.57529,1.31538,0.008812,0.008812,0.008812
14,1015.7,1.06375,0.8703,1.22559,0.89898,0.93314,0.95259,0.69981,1.05598,0.5475,1.2949,0.008713,0.008713,0.008713
15,1097.29,1.05051,0.83884,1.21427,0.88724,0.93659,0.95468,0.69975,1.04175,0.55325,1.28605,0.008614,0.008614,0.008614
16,1180.55,1.04149,0.81463,1.20607,0.91935,0.9124,0.96164,0.70783,1.03727,0.52696,1.28386,0.008515,0.008515,0.008515
17,1261.86,1.03691,0.79702,1.20483,0.93483,0.93985,0.97745,0.71775,1.04651,0.52068,1.2851,0.008416,0.008416,0.008416
18,1349.73,1.02685,0.78125,1.19981,0.93657,0.94093,0.97686,0.7346,1.0245,0.49023,1.27566,0.008317,0.008317,0.008317
19,1440.39,1.02002,0.76027,1.19572,0.94433,0.94343,0.97974,0.72162,1.05459,0.48128,1.29152,0.008218,0.008218,0.008218
20,1525.86,1.0088,0.75369,1.18944,0.9287,0.94252,0.96569,0.72755,1.01595,0.47294,1.26583,0.008119,0.008119,0.008119
21,1617.41,1.00384,0.73278,1.19085,0.93403,0.94827,0.96959,0.73321,0.99669,0.46517,1.25508,0.00802,0.00802,0.00802
22,1703.23,0.99889,0.72743,1.18795,0.92512,0.9648,0.97524,0.73627,0.99944,0.45353,1.26144,0.007921,0.007921,0.007921
23,1791.1,0.99277,0.72148,1.18106,0.93506,0.95934,0.97332,0.7245,1.03987,0.45088,1.27605,0.007822,0.007822,0.007822
24,1883.04,0.98166,0.70159,1.17632,0.9383,0.95218,0.98091,0.74774,0.98702,0.43473,1.25147,0.007723,0.007723,0.007723
25,1971.8,0.97754,0.69798,1.17541,0.94785,0.96489,0.9775,0.74498,0.98173,0.43393,1.24915,0.007624,0.007624,0.007624
26,2061.93,0.96877,0.68096,1.16816,0.95171,0.954,0.98016,0.74917,0.98592,0.43144,1.25128,0.007525,0.007525,0.007525
